Name,Description,Excerpt,Tree species,Tour,Sequence
Swamp white oak (Quercus bicolor),There is much dead wood in the tuli...,"There is much dead wood in the tulip tree and in its close neighbor on the right, which also bears a great gash on the street side of its trunk where a car or snow plow struck it. This tree, with low, arching branches and interestingly spiraled, deeply grooved bark, is a <i style=""color: rgb(156, 39, 176);"">swamp white oak</i>, <b><i style=""color: rgb(156, 39, 176);"">Quercus bicolor</i></b>, of outstanding size. Like all members of the white oak group, the leaves of the <i style=""color: rgb(156, 39, 176);"">swamp white oak</i> have rounded lobes and sinuses. Instead of tapering, the leaves broaden towards the tip. Acorns are home in pairs on a short stalk, an infallible clue to identity. Since this exceptionally fine tree and the tulip tree at its elbow are in need of skilled care, contributors to the Camperdown Fund might consider them as candidates for professional treatment in 1968.",Quercus bicolor,TOUR 3,94
London plane (Platanus hispanica),Near Meadowport Arch on the right i...,"Near Meadowport Arch on the right is a large <i style=""color: rgb(156, 39, 176);"">London plane</i>, Platanus acerifolia, a hybrid between the American and oriental planes. The <i style=""color: rgb(156, 39, 176);"">London plane</i> is greatly valued as a street tree because of its tolerance of city hardships, and accordingly is overplanted to the point of monotony. The <i style=""color: rgb(156, 39, 176);"">London plane</i> usually has two seed balls in a cluster while the American (commonly called sycamore or buttonwood) has only one. Many of the seed balls remain on the tree all winter, while the varicolored, peeling bark is distinctive in all seasons.",Platanus hispanica,TOUR 3,95
Sycamore maple (Acer pseudoplatanus),High to the right at the corner of ...,"High to the right at the corner of Meadowport Arch, a <i style=""color: rgb(156, 39, 176);"">sycamore maple</i>, <b><i style=""color: rgb(156, 39, 176);"">Acer pseudoplatanus</i></b>, has a precarious hold on the bank. It demonstrates how roots are exposed by erosion when an unguarded, bare slope invites short cuts. The remedy is a thick barrier of thorny shrubs (the hardy orange with its 4"" steel-tipped spines is ideal) plus cribbing and mulching with wood chips until the soil is stabilized.",Acer pseudoplatanus,TOUR 3,96
Japanese maple (Acer palmatum),Enter Meadowport Arch and take the ...,"Enter Meadowport Arch and take the right-hand passage. As you come out, look up and slightly to the left to enjoy the lacy foliage of one of the choicest trees in the Park, a two-trunked cut-leaf <i style=""color: rgb(156, 39, 176);"">Japanese maple</i> with unusually refined foliage and graceful form. In early May the clear green leaves are complemented by cloudlike filigree of tiny red flowers. The overhanging ailanthus, a weed tree, should be removed before it shades the maple to death.",Acer palmatum,TOUR 3,97
Japanese maple (Acer palmatum),"Taking the path to the left, you pa...","Taking the path to the left, you pass another <i style=""color: rgb(156, 39, 176);"">Japanese maple</i> on the same hillock, this one seen to better advantage as it is not overshadowed by a taller tree.",Acer palmatum,TOUR 3,98
Smooth-leafed elm (Ulmus carpinifolia),Continue circling to the left until...,"Continue circling to the left until you come to a rise close to the road. On the very edge of the road, by an unnumbered tall lamp post with a No Parking sign, is a Eurasian elm of extraordinary form. About ten feet above ground the trunk divides into four massive limbs, three of them nearly horizontal. The vertical one in turn divides into five large limbs. This is a <i style=""color: rgb(156, 39, 176);"">smooth-leafed elm</i>, <b><i style=""color: rgb(156, 39, 176);"">Ulmus carpinifolia</i></b>, a variable species easily confused with the English elm. Both have low, heavy branches and a habit of suckering from the base and roots. The <i style=""color: rgb(156, 39, 176);"">smooth-leafed elm</i>, however, has leaves with smooth tops and hairless undersides, except for minute tufts in the axils of the veins. The leaf of the English elm is rough on top and hairy beneath.",Ulmus carpinifolia,TOUR 3,99
Sour gum (Nyssa sylvatica),Return towards Meadowport Arch....,"Return towards Meadowport Arch. If you take the path on the near side of the grassy island and sight between the two cut-leaf maples, you will see a <i style=""color: rgb(156, 39, 176);"">sour gum</i> on the far bank, standing next to a Himalayan pine. The <i style=""color: rgb(156, 39, 176);"">sour gum</i> is inconspicuous in summer but when it turns burnished red in fall, it lights up the whole area. Its lacquerlike brilliance is especially effective against the soft, hazy green of the pine.",Nyssa sylvatica,TOUR 3,100
Himalayan pine (Pinus wallichiana),Return towards Meadowport Arch....,"Return towards Meadowport Arch. If you take the path on the near side of the grassy island and sight between the two cut-leaf maples, you will see a sour gum on the far bank, standing next to a <i style=""color: rgb(156, 39, 176);"">Himalayan pine</i>. The sour gum is inconspicuous in summer but when it turns burnished red in fall, it lights up the whole area. Its lacquerlike brilliance is especially effective against the soft, hazy green of the pine.",Pinus wallichiana,TOUR 3,101
Himalayan pine (Pinus wallichiana),"The Himalayan pine, Pinus wallichia...","The <i style=""color: rgb(156, 39, 176);"">Himalayan pine</i>, <b><i style=""color: rgb(156, 39, 176);"">Pinus wallichiana</i></b> (syn. P. griffithii), can be recognized by the long, pendulous needles that veil its branches. Compare this fine exotic with two specimens of the native white pine, P. strobus, on the hill to the right. In contrast to the soft tassels of the <i style=""color: rgb(156, 39, 176);"">Himalayan pine</i>, the needles of the white pine are shorter and more erect. The tree's widely spaced horizontal branches give it an open appearance. A mature white pine, especially when silhouetted against moving clouds, suggests a square-rigged ship with reefed sails.",Pinus wallichiana,TOUR 3,102
White pine (Pinus strobus),"The Himalayan pine, Pinus wallichia...","The Himalayan pine, Pinus wallichiana (syn. P. griffithii), can be recognized by the long, pendulous needles that veil its branches. Compare this fine exotic with two specimens of the native <i style=""color: rgb(156, 39, 176);"">white pine</i>, <b><i style=""color: rgb(156, 39, 176);"">P. strobus</i></b>, on the hill to the right. In contrast to the soft tassels of the Himalayan pine, the needles of the <i style=""color: rgb(156, 39, 176);"">white pine</i> are shorter and more erect. The tree's widely spaced horizontal branches give it an open appearance. A mature <i style=""color: rgb(156, 39, 176);"">white pine</i>, especially when silhouetted against moving clouds, suggests a square-rigged ship with reefed sails.",Pinus strobus,TOUR 3,103
Chinese tree lilacs (Syringa pekinensis),"Beyond the Himalayan pine, on the l...","Beyond the Himalayan pine, on the left, are four <i style=""color: rgb(156, 39, 176);"">Chinese tree lilacs</i>, <b><i style=""color: rgb(156, 39, 176);"">Syringa pekinensis</i></b>. A fifth, with a lyre-shaped trunk, stands at the base of the nearer white pine and arches across the path to meet the others. These tree lilacs bloom after the last shrub lilacs, thus prolonging the season. Their large panicles of creamy-white flowers develop into clusters of green, flame-shaped fruits which are nearly as showy as the flowers. The trunks are rough but the young branches have such a high gloss and fine reddish color that they could be easily mistaken for specimens of cultivated cherry.",Syringa pekinensis,TOUR 3,104
Black haw (Viburnum prunifolium),Just behind the tree lilacs and hig...,"Just behind the tree lilacs and higher up the slope, the arching, many-stemmed shrub is the native <i style=""color: rgb(156, 39, 176);"">black haw</i>, <b><i style=""color: rgb(156, 39, 176);"">Viburnum prunifolium</i></b>, valued for its graceful habit and rose-red fall color.",Viburnum prunifolium,TOUR 3,105
Hop hornbeam (Ostrya virginiana),"Where the path divides, take the le...","Where the path divides, take the left branch. Just beyond lamp post 105 is a <i style=""color: rgb(156, 39, 176);"">hop hornbeam</i>, <b><i style=""color: rgb(156, 39, 176);"">Ostrya virginiana</i></b>, one of the less common of our eastern trees. This specimen divides into three trunks above a shared base. Its bark hangs in fine, papery shreds, in sharp contrast to the skin-smooth bark of the related American hornbeam, Carpinus caroliniana.",Ostrya virginiana,TOUR 3,106
Chinese tree lilacs (Syringa pekinensis),Beyond the hornbeam are two more Ch...,"Beyond the hornbeam are two more <i style=""color: rgb(156, 39, 176);"">Chinese tree lilacs</i>, and squeezed between the lilacs is a native hackberry, Celtis occidentalis. The hackberry is best known for the brushy growths called witches' brooms that develop on the tips of its branches. These abnormal growths are caused by fungus carried by mites, minute eight-legged creatures belonging to the spider family. The infection restricts the growth of the tree but doesn't otherwise harm it.

Hackberries seem to thrive on adversity: they am one of the most plentiful self-sown trees on Central Park's rocky ledges but seem to do less well in Prospect Park's more open soil. The bark is distinctively pale gray, usually smooth but in some individuals showing corky ridges or warts. In summer, the witches' brooms are half hidden by fresh-looking, light green foliage. In winter a grove of hackberries becomes an enchanted forest as the brooms take on the aspect of bearded gnomes and spidery fingers. The hackberry's fairy tale qualities are evident only when the tree is silhouetted against the sky, not crowded as it is here.",Syringa pekinensis,TOUR 3,107
Hackberry (Celtis occidentalis),Beyond the hornbeam are two more Ch...,"Beyond the hornbeam are two more Chinese tree lilacs, and squeezed between the lilacs is a native <i style=""color: rgb(156, 39, 176);"">hackberry</i>, <b><i style=""color: rgb(156, 39, 176);"">Celtis occidentalis</i></b>. The <i style=""color: rgb(156, 39, 176);"">hackberry</i> is best known for the brushy growths called witches' brooms that develop on the tips of its branches. These abnormal growths are caused by fungus carried by mites, minute eight-legged creatures belonging to the spider family. The infection restricts the growth of the tree but doesn't otherwise harm it.

Hackberries seem to thrive on adversity: they am one of the most plentiful self-sown trees on Central Park's rocky ledges but seem to do less well in Prospect Park's more open soil. The bark is distinctively pale gray, usually smooth but in some individuals showing corky ridges or warts. In summer, the witches' brooms are half hidden by fresh-looking, light green foliage. In winter a grove of hackberries becomes an enchanted forest as the brooms take on the aspect of bearded gnomes and spidery fingers. The hackberry's fairy tale qualities are evident only when the tree is silhouetted against the sky, not crowded as it is here.",Celtis occidentalis,TOUR 3,108
Black cherry (Prunus capollin),"A little farther on, still on the l...","A little farther on, still on the left and well away from the path, is a small, contorted <i style=""color: rgb(156, 39, 176);"">black cherry</i>, <b><i style=""color: rgb(156, 39, 176);"">Prunus serotina</i></b>. The bend of its trunk suggests that it has served as bronco for legions of city cowboys.",Prunus capollin,TOUR 3,109
Japanese cherries (Prunus serrulata),On the right side of the footpath n...,"On the right side of the footpath near the colonnade are three double-flowered <i style=""color: rgb(156, 39, 176);"">Japanese cherries</i>, <b><i style=""color: rgb(156, 39, 176);"">Prunus serrulata</i></b> ""Kwanzan."" Turn away from the Plaza and walk back a few yards into the Park. On your left are three small-leafed evergreens, one with a treelike habit. These are Japanese hollies, Ilex crenata. Unlike the American and English hollies, the leaves of the Japanese species are without spines and their fruits are black rather than red. Ilex crenata is a variable species. In its dense, rounded forms, it makes a good substitute for the less hardy boxwood, while low and spreading varieties are useful for edgings and rock gardens.",Prunus serrulata,TOUR 3,110
Japanese hollies (Ilex crenata),On the right side of the footpath n...,"On the right side of the footpath near the colonnade are three double-flowered Japanese cherries, Prunus serrulata ""Kwanzan."" Turn away from the Plaza and walk back a few yards into the Park. On your left are three small-leafed evergreens, one with a treelike habit. These are <i style=""color: rgb(156, 39, 176);"">Japanese hollies</i>, <b><i style=""color: rgb(156, 39, 176);"">Ilex crenata</i></b>. Unlike the American and English hollies, the leaves of the Japanese species are without spines and their fruits are black rather than red. <b><i style=""color: rgb(156, 39, 176);"">Ilex crenata</i></b> is a variable species. In its dense, rounded forms, it makes a good substitute for the less hardy boxwood, while low and spreading varieties are useful for edgings and rock gardens.",Ilex crenata,TOUR 3,111
Purple beeches (Fagus sylvatica),Take the left fork of the path whic...,"Take the left fork of the path which is flanked by two <i style=""color: rgb(156, 39, 176);"">purple beeches</i>. The trunks of both have been mutilated, the smaller one more recently and seriously. Thoughtless people fail to realize that a wound in bark, like a wound in human flesh, is an invitation to infection. The proposed Audubon Nature Study Center, at which school children would be taught to respect all forms of life, would materially reduce vandalism due to ignorance and lack of training.",Fagus sylvatica,TOUR 3,112
Small-leaf european lindens (Tilia cordata),"Beyond the left-hand beech, near th...","Beyond the left-hand beech, near the highway on the left, are two <i style=""color: rgb(156, 39, 176);"">small-leaf European lindens</i>, <b><i style=""color: rgb(156, 39, 176);"">Tilia cordata</i></b>. Note the dainty, rounded leaves of these lindens and the dense, fine, stiff branches and twigs. Linden flowers have a light but pervasive fragrance which is captured in linden honey. In Europe the flowers are used to make an herbal tea.",Tilia cordata,TOUR 3,113
Sycamore maples (Acer pseudoplatanus),In line with the far linden but nea...,"In line with the far linden but nearer the path are two <i style=""color: rgb(156, 39, 176);"">sycamore maples</i>, <b><i style=""color: rgb(156, 39, 176);"">Acer pseudoplatanus</i></b>. These are weed trees, coarse and free seeding. The tough-looking leaves with conspicuously impressed veins are one means of recognition. Look for dangling grapelike clusters of greenish yellow flowers or key fruits to confirm your identification.",Acer pseudoplatanus,TOUR 3,114
Field maples (Acer campestre),The last two trees in this group ar...,"The last two trees in this group are hedge or <i style=""color: rgb(156, 39, 176);"">field maples</i>, <b><i style=""color: rgb(156, 39, 176);"">Acer campestre</i></b>, seldom seen but of exceptional interest. The stocky, gnarled trunks are full of character, resembling bonsai in their compression and look of great age and endurance. With such a wealth of stimulating material to choose from, there is little reason for planting hackneyed trees like the over-used Norway and sycamore maples and London planes.

Here the tree tour ends. Before you leave, climb the little rise by lamp post 102 for a final look at Long Meadow through its screen of trees.

The Long Meadow is five times as large as any in Central Park. It is the crowning expression of Olmsted and Vaux's purpose: to create an oasis of peace and refreshment, a refuge from the congestion of the city. A feeling of freedom and limitless space is achieved, in Olmsted's words, by ""a broad stretch of slightly undulating meadow without defined edges, its turf lost in a maze of the shadows of scattered trees. . . .""

As a further enticement, the extent of the Long Meadow is not fully revealed. Instead, it sweeps around low hills and out of sight, hinting at endless distance and adventures in the fields beyond.

I saw the setting sun lighting up the opposite side of a stately pine wood. Its golden rays straggled into the aisles of the wood as into some noble hall. I was impressed as if some ancient and altogether admirable and shining family had settled there. . . . If it were not for such families as this, I think I should move out of Concord. 
Henry David Thoreau: Walking, 1862

. . . Every bit of work done on the Park should be done for the single purpose of making the visitor feel as if be had got far away from the town.

",Acer campestre,TOUR 3,115
TOUR 4,"TOUR IV

Entrance at Parkside and...","TOUR IV

Entrance at Parkside and Ocean Avenues. Take the BMT Brighton Beach Express to Parkside Station, and follow arrows to Parkside Avenue.",,TOUR 4,116
European lindens (Tilia europaea),As you face the beautiful wisteria ...,"As you face the beautiful wisteria colonnade that frames this entrance to the Park, take the righthand path on the Ocean Avenue side. Stand just inside the gateway and look ahead to a balanced pair of large <i style=""color: rgb(156, 39, 176);"">European lindens</i>, <b><i style=""color: rgb(156, 39, 176);"">Tilia europaea</i></b>, that closely flank the path. In contrast to the man-made stone structure that faces the city street, these trees form a living gateway to this greatest of naturalistic landscape parks.",Tilia europaea,TOUR 4,117
Gymnocladus dioicus (Gymnocladus dioica),To your left at the edge of the hig...,"To your left at the edge of the highway, near the colonnade, are two <i style=""color: rgb(156, 39, 176);"">Kentucky coffee trees</i>, <i style=""color: rgb(156, 39, 176);"">Gymnocladus dioicus</i>. Pioneers who first settled in the Middle South roasted the seeds and brewed a bitter drink from them, but quickly abandoned the substitute when real coffee became available. Leaves of the coffee tree may be from one to three feet long and are composed of forty to sixty individual leaflets. The skeleton of the tree is noticeably sparse, as you will see if you compare it to the sassafras (Sassafras albidum) next to the colonnade on the far side of the highway. This sassafras has an unusual form: the trunk broadens towards the base in a conical shape more characteristic of a bald cypress.",Gymnocladus dioica,TOUR 4,118
Sassafras (Sassafras albidum),To your left at the edge of the hig...,"To your left at the edge of the highway, near the colonnade, are two Kentucky coffee trees, Gymnocladus dioicus. Pioneers who first settled in the Middle South roasted the seeds and brewed a bitter drink from them, but quickly abandoned the substitute when real coffee became available. Leaves of the coffee tree may be from one to three feet long and are composed of forty to sixty individual leaflets. The skeleton of the tree is noticeably sparse, as you will see if you compare it to the <i style=""color: rgb(156, 39, 176);"">sassafras</i> (<b><i style=""color: rgb(156, 39, 176);"">Sassafras albidum</i></b>) next to the colonnade on the far side of the highway. This <i style=""color: rgb(156, 39, 176);"">sassafras</i> has an unusual form: the trunk broadens towards the base in a conical shape more characteristic of a bald cypress.",Sassafras albidum,TOUR 4,119
Sassafras (Sassafras albidum),Sassafras foliage is interesting be...,"Sassafras foliage is interesting because of the variation in form. Some leaves are simple ovals, some have three lobes, and some two. The ""thumb"" of the last form gives the <i style=""color: rgb(156, 39, 176);"">sassafras</i> its common name of <i style=""color: rgb(156, 39, 176);"">mitten tree</i>. The specimen on the near side of the highway, about ten yards beyond the second coffee tree, is dead but you can study the leaf forms on the sucker growth at its base. The green color of young <i style=""color: rgb(156, 39, 176);"">sassafras</i> twigs persists all winter and serves as an identifying mark when the leaves have fallen.

Oil of sassafras, possibly because of its aromatic odor, was once esteemed as a medicine of cure-all potency. Belief in the sassafras's curative powers survives in the old-fashioned spring tonic favored by country housewives and detested by their children. In more palatable form, sassafras is an ingredient of root beer. Its dried leaves may perhaps still be used for making sassafras tea. Pulverized, they become the filé powder or gumbo fil´ used in Creole cookery.",Sassafras albidum,TOUR 4,120
Hawthorn (Crataegus monogyna),"An English single-seeded hawthorn, ...","An English single-seeded <i style=""color: rgb(156, 39, 176);"">hawthorn</i>, <b><i style=""color: rgb(156, 39, 176);"">Crataegus monogyna</i></b>, is growing just beyond the dead sassafras at the edge of the road. Its two trunks are obscured by sucker growth. This profusion of thorny branches makes the species a valuable hedging plant. Hedges of the one-seed <i style=""color: rgb(156, 39, 176);"">hawthorn</i> line hundreds of miles of country lanes in England.",Crataegus monogyna,TOUR 4,121
White pines (Pinus strobus),Continue straight ahead to the path...,"Continue straight ahead to the path of hexagonal blocks. On your right are two <i style=""color: rgb(156, 39, 176);"">white pines</i>, <b><i style=""color: rgb(156, 39, 176);"">Pinus strobus</i></b>, with five needles in each cluster and between them an Austrian pine, P. nigra, with only two needles to a bundle. This specimen is unlike the typically upright Austrian pine, as its branches have a drooping, almost weeping, habit.",Pinus strobus,TOUR 4,122
Austrian pine (Pinus nigra),Continue straight ahead to the path...,"Continue straight ahead to the path of hexagonal blocks. On your right are two white pines, Pinus strobus, with five needles in each cluster and between them an <i style=""color: rgb(156, 39, 176);"">Austrian pine</i>, <b><i style=""color: rgb(156, 39, 176);"">P. nigra</i></b>, with only two needles to a bundle. This specimen is unlike the typically upright <i style=""color: rgb(156, 39, 176);"">Austrian pine</i>, as its branches have a drooping, almost weeping, habit.",Pinus nigra,TOUR 4,123
Silver maple (Acer saccharinum),On the left is a large silver maple...,"On the left is a large <i style=""color: rgb(156, 39, 176);"">silver maple</i>, <b><i style=""color: rgb(156, 39, 176);"">Acer saccharinum</i></b>. Its flaking bark resembles that of a white oak. The sharply pointed, silver-backed leaves, however, are quite distinct from the white oak's round-lobed foliage. The <i style=""color: rgb(156, 39, 176);"">silver maple</i>, a fast-growing tree, was once extensively used for street planting. The tree has gained a bad reputation from its habit of dropping huge dead limbs without warning. Unless the <i style=""color: rgb(156, 39, 176);"">silver maple</i> is kept conscientiously pruned, mature specimens become a hazard to passersby. 

As you wait for the traffic light, look across the first lane of the highway to your left. By the tall lamp post is a willow oak, Quercus phellos, an uncommon and decorative species with long, slender, willowlike leaves.",Acer saccharinum,TOUR 4,124
Willow oak (Quercus phellos),On the left is a large silver maple...,"On the left is a large silver maple, Acer saccharinum. Its flaking bark resembles that of a white oak. The sharply pointed, silver-backed leaves, however, are quite distinct from the white oak's round-lobed foliage. The silver maple, a fast-growing tree, was once extensively used for street planting. The tree has gained a bad reputation from its habit of dropping huge dead limbs without warning. Unless the silver maple is kept conscientiously pruned, mature specimens become a hazard to passersby. 

As you wait for the traffic light, look across the first lane of the highway to your left. By the tall lamp post is a <i style=""color: rgb(156, 39, 176);"">willow oak</i>, <b><i style=""color: rgb(156, 39, 176);"">Quercus phellos</i></b>, an uncommon and decorative species with long, slender, willowlike leaves.",Quercus phellos,TOUR 4,125
English elm (Ulmus procera),Cross both lanes of the highway and...,"Cross both lanes of the highway and the bridle path. Immediately on your left is an <i style=""color: rgb(156, 39, 176);"">English elm</i>, <b><i style=""color: rgb(156, 39, 176);"">Ulmus procera</i></b>. Unlike the American elm, with its arching branches springing from a high crown, the <i style=""color: rgb(156, 39, 176);"">English elm</i> has low, heavy side branches and a massive trunk, nearly black in color. Mature specimens of <i style=""color: rgb(156, 39, 176);"">English elm</i> have an imposing air of solidity and strength, entirely distinct from the fountainlike grace of the American elm.",Ulmus procera,TOUR 4,126
Cherry birch (Betula lenta),The tree on your right about thirty...,"The tree on your right about thirty feet from the path is a two-trunked specimen of <b><i style=""color: rgb(156, 39, 176);"">Betula lenta</i></b>, variously known as cherry, sweet, and <i style=""color: rgb(156, 39, 176);"">mahogany birch</i>. The name <i style=""color: rgb(156, 39, 176);"">cherry birch</i> refers to the similarity of the bark of young growth to that of the cultivated cherry. The aromatic properties of the tree are denoted by its name of <i style=""color: rgb(156, 39, 176);"">sweet birch</i>. Its sap was once used to make birch beer. When not synthetic, the ""wintergreen"" flavoring of chewing gum and candy is in fact an extract of young <i style=""color: rgb(156, 39, 176);"">cherry birch</i>es.
Betula lenta is able to thrive in poor soils and quickly seeds itself into thickets. It does invaluable service as soil holder and could be combined with other native material to check erosion on bare slopes in the Park and particularly in the Ravine.",Betula lenta,TOUR 4,127
European hornbeam (Carpinus betulus),"Directly ahead, at the right of the...","Directly ahead, at the right of the path, is a <i style=""color: rgb(156, 39, 176);"">European hornbeam</i>, <b><i style=""color: rgb(156, 39, 176);"">Carpinus betulus</i></b>. Its zebra-striped bark is spectacular and sets it apart from the uniformly blue-gray bark of the American hornbeam. The tiny fruit is enclosed in a three-lobed bract whose central lobe is rounded like the tip of a finger. On the near side of the trunk, an unpruned stub of a dead branch has rotted back and formed a cavity. If untreated, decay will hollow the trunk and eventually destroy the tree.",Carpinus betulus,TOUR 4,128
American linden (Tilia americana),"Returning to the English elm, take ...","Returning to the English elm, take the hexagonal block walk to the left of the green triangle, then turn left on the walk around the lake. As you pass the far end of the grass oval, across the walk from lamp post K 230, look ahead to a large-leafed tree with two trunks. This is an <i style=""color: rgb(156, 39, 176);"">American linden</i> or basswood, <b><i style=""color: rgb(156, 39, 176);"">Tilia americana</i></b>, with an unusual drooping habit.",Tilia americana,TOUR 4,129
Tulip trees (Liriodendron tulipifera),The branches of the linden touch a ...,"The branches of the linden touch a <i style=""color: rgb(156, 39, 176);"">tulip tree</i>, <b><i style=""color: rgb(156, 39, 176);"">Liriodendron tulipifera</i></b>, one of a group on either side of the walk. <i style=""color: rgb(156, 39, 176);"">Tulip trees</i> are one of our stateliest native species, with tall straight trunks and leaves squared off at the tips. The tuliplike flowers, though quite large, are difficult to see as their pale green and orange color blends with the foliage. In winter, remnants of the conelike, buff-colored fruits can be seen at the tips of the upper branches.",Liriodendron tulipifera,TOUR 4,130
Tulip tree (Liriodendron tulipifera),The tulip tree on the left has a hu...,"The <i style=""color: rgb(156, 39, 176);"">tulip tree</i> on the left has a huge wound on the side facing the street. Nearly a third of the bark has been destroyed, reducing the flow of food to the roots. Regrowth has been delayed because the jagged edges of the wound were not cut back to solidly attached bark nor shaped to the smooth, pointed oval that promotes rapid healing. The exposed sapwood was painted at one time but the paint is now peeling, leaving the wood without protection against drying and cracking.",Liriodendron tulipifera,TOUR 4,131
Tulip tree (Liriodendron tulipifera),An older wound on the lake side of ...,"An older wound on the lake side of the <i style=""color: rgb(156, 39, 176);"">tulip tree</i> to the right of the path shows the result of long-standing neglect. Here the bare wood has dried and shrunk, opening crevices which invite insect and fungus invasion. The overhang of loose bark, left untrimmed, has already provided a sheltered breeding site for boring insects. The holes through which they emerged can be seen in the bark above the wound. Twenty minutes of work with a chisel and mallet in skilled hands would have prevented this secondary damage and speeded the growth of new bark. These magnificent trees must be saved if given prompt treatment, but years of healing have been irrevocably lost because the wounds were not given immediate, intelligent care.",Liriodendron tulipifera,TOUR 4,132
American linden (Tilia americana),Diagonally ahead and to the right f...,"Diagonally ahead and to the right from lamp post K 231 is a normal <i style=""color: rgb(156, 39, 176);"">American linden</i> to compare with the drooping specimen seen just before. This one is upright with a trunk that divides into three about ten feet above ground. This coarse-leafed tree bears little resemblance to the commonly planted European lindens -- in fact, at a hasty glance, it might be mistaken for a catalpa. However, look for a long leaflike bract bearing on its underside a stalk with one or more hard round fruits, and you will know it for a linden.",Tilia americana,TOUR 4,133
English elm (Ulmus procera),In line with the linden but nearer ...,"In line with the linden but nearer the lake is a low-branched <i style=""color: rgb(156, 39, 176);"">English elm</i>. Note the surface roots with sucker shoots which would form a thicket if not trampled on. It is curious that the <i style=""color: rgb(156, 39, 176);"">English elm</i> rarely produces viable seeds and would die out if not propagated by man or, to a limited degree, by suckers.",Ulmus procera,TOUR 4,134
Pagoda tree (Styphnolobium japonicum),Across the bridle path to the left ...,"Across the bridle path to the left is a scholar or <i style=""color: rgb(156, 39, 176);"">pagoda tree</i>, Sophora japonica. One of its branches leans over the traffic light. Because of its compound leaves, the sophora may be confused with our native black locust, also a member of the pea family. The sophora has relatively smooth bark, green twigs, and persistent fruits that hang like strings of bumpy beads. The black locust has deeply furrowed bark and clusters of beanlike pods. You can most easily distinguish the trees by their season of bloom: the black locust in early spring before the leaves are fully developed, the sophora in late summer. There are many sophoras in Prospect Park. If you study their characteristics, you'll be able to recognize the next one you see.",Styphnolobium japonicum,TOUR 4,135
White ash (Fraxinus americana),Turn again towards the lake....,"Turn again towards the lake. To the left of lamp post K 232 is a <i style=""color: rgb(156, 39, 176);"">white ash</i>, <b><i style=""color: rgb(156, 39, 176);"">Fraxinus americana</i></b>, with a tunnel under its roots. The distinguishing mark of the <i style=""color: rgb(156, 39, 176);"">white ash</i> is the light undersurface of the leaflets that make up its compound leaves. If you have a hand lens, you can clinch the identification by examining the scars left on the twigs by last year's leaves. The scars of the <i style=""color: rgb(156, 39, 176);"">white ash</i> are crescent shaped, in contrast to those of the black, red, and green ashes which form a half circle. The overhanging dead limb on the lake side of this ash is a danger to passersby as well as to the tree.",Fraxinus americana,TOUR 4,136
White willow (Salix alba),Leave the path at this point and wa...,"Leave the path at this point and walk on the grass towards the lake. On the lake shore is a <i style=""color: rgb(156, 39, 176);"">white willow</i>, <b><i style=""color: rgb(156, 39, 176);"">Salix alba</i></b>, with branches leaning far over the water. Walk to the left along the bank to a little promontory on the shore. The first tree on your left is an American hornbeam, Carpinus caroliniana, too seldom planted in the Park. This is a beautiful specimen, broader than it is tall, but in urgent need of extensive pruning to clear the dead and fungus-infected wood. Its bark has broken stripes of pale gray-brown and there are several burls on the trunk. The rich red and orange fall coloring of the American hornbeam helps to distinguish it from the European species which shows no marked seasonal color.",Salix alba,TOUR 4,137
American hornbeam (Carpinus caroliniana),Leave the path at this point and wa...,"Leave the path at this point and walk on the grass towards the lake. On the lake shore is a white willow, Salix alba, with branches leaning far over the water. Walk to the left along the bank to a little promontory on the shore. The first tree on your left is an <i style=""color: rgb(156, 39, 176);"">American hornbeam</i>, <b><i style=""color: rgb(156, 39, 176);"">Carpinus caroliniana</i></b>, too seldom planted in the Park. This is a beautiful specimen, broader than it is tall, but in urgent need of extensive pruning to clear the dead and fungus-infected wood. Its bark has broken stripes of pale gray-brown and there are several burls on the trunk. The rich red and orange fall coloring of the <i style=""color: rgb(156, 39, 176);"">American hornbeam</i> helps to distinguish it from the European species which shows no marked seasonal color.",Carpinus caroliniana,TOUR 4,138
Bald cypress (Taxodium distichum),If you draw an imaginary line from ...,"If you draw an imaginary line from the promontory through the hornbeam, its landward end will point to a tall tree with cinnamon-colored bark and feathery foliage. This is a <i style=""color: rgb(156, 39, 176);"">bald cypress</i>, <b><i style=""color: rgb(156, 39, 176);"">Taxodium distichum</i></b>, a paradoxical tree: an ""evergreen"" that isn't evergreen and not a true cypress. The <i style=""color: rgb(156, 39, 176);"">bald cypress</i> occurs naturally from Delaware southward but is hardy enough to survive when planted in New England.",Taxodium distichum,TOUR 4,139
White mulberry (Morus alba),"To the left of the cypress, the con...","To the left of the cypress, the contorted tree with two trunks, yellowish bark, and intertwined roots is a <i style=""color: rgb(156, 39, 176);"">white mulberry</i>, <b><i style=""color: rgb(156, 39, 176);"">Morus alba</i></b>. In the Orient, leaves of the <i style=""color: rgb(156, 39, 176);"">white mulberry</i> are the chief food of cultivated silkworms. The mulberry was brought to this country in the hope of starting a domestic silk industry. The experiment failed but the mulberry flourished and spread. Judging by the number of leaves sent to the Botanic Garden for identification, it is the commonest weed tree in Brooklyn.

This is the turning point of the walk. You can now retrace your steps to the Parkside Gate where you started, and pick up the second part of the tour another day. If time and energy permit, you can return by a different but somewhat longer route.",Morus alba,TOUR 4,140
